cycle: 46; nbPreys: 23; minEnergyPreys: 0.30000000000000004; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.11999999999999984; maxSizePredators: 1.0
cycle: 47; nbPreys: 21; minEnergyPreys: 0.3500000000000001; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.09999999999999984; maxSizePredators: 1.0
cycle: 48; nbPreys: 19; minEnergyPreys: 0.40000000000000013; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.07999999999999984; maxSizePredators: 1.0
cycle: 49; nbPreys: 21; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.05999999999999983; maxSizePredators: 1.0
cycle: 50; nbPreys: 19; minEnergyPreys: 0.30000000000000004; maxSizePreys: 1.0; nbPredators: 35; minEnergyPredators: 0.03999999999999983; maxSizePredators: 1.0
cycle: 51; nbPreys: 18; minEnergyPreys: 0.3500000000000001; maxSizePreys: 1.0; nbPredators: 35; minEnergyPredators: 0.019999999999999827; maxSizePredators: 1.0
cycle: 52; nbPreys: 18; minEnergyPreys: 0.40000000000000013; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.98
cycle: 53; nbPreys: 17; minEnergyPreys: 0.4500000000000002; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 54; nbPreys: 14; minEnergyPreys: 0.5000000000000002; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 55; nbPreys: 11; minEnergyPreys: 0.5500000000000003; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 56; nbPreys: 10; minEnergyPreys: 0.6000000000000002; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.1199999999999994; maxSizePredators: 1.0
cycle: 57; nbPreys: 14; minEnergyPreys: 0.21249999999999997; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.0999999999999994; maxSizePredators: 0.98
cycle: 58; nbPreys: 12; minEnergyPreys: 0.26249999999999996; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
cycle: 59; nbPreys: 11; minEnergyPreys: 0.3125; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.98
cycle: 60; nbPreys: 13; minEnergyPreys: 0.36250000000000004; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.96
cycle: 61; nbPreys: 12; minEnergyPreys: 0.4125000000000001; maxSizePreys: 1.0; nbPredators: 35; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 62; nbPreys: 12; minEnergyPreys: 0.46250000000000013; maxSizePreys: 1.0; nbPredators: 34; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.98
cycle: 63; nbPreys: 12; minEnergyPreys: 0.5125000000000002; maxSizePreys: 1.0; nbPredators: 34; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.96
cycle: 64; nbPreys: 12; minEnergyPreys: 0.5625000000000002; maxSizePreys: 1.0; nbPredators: 34; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.94
cycle: 65; nbPreys: 11; minEnergyPreys: 0.6125000000000002; maxSizePreys: 1.0; nbPredators: 37; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 66; nbPreys: 10; minEnergyPreys: 0.6625000000000001; maxSizePreys: 1.0; nbPredators: 36; minEnergyPredators: 0.05999999999999939; maxSizePredators: 1.0
cycle: 67; nbPreys: 14; minEnergyPreys: 0.18749999999999994; maxSizePreys: 1.0; nbPredators: 36; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.98
cycle: 68; nbPreys: 14; minEnergyPreys: 0.23749999999999996; maxSizePreys: 1.0; nbPredators: 36; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.96
cycle: 69; nbPreys: 14; minEnergyPreys: 0.2875; maxSizePreys: 1.0; nbPredators: 35; minEnergyPredators: 0.019999999999999855; maxSizePredators: 0.94
cycle: 70; nbPreys: 14; minEnergyPreys: 0.3375; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.019999999999999605; maxSizePredators: 0.9199999999999999
cycle: 71; nbPreys: 14; minEnergyPreys: 0.38750000000000007; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 72; nbPreys: 16; minEnergyPreys: 0.3333333333333333; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 73; nbPreys: 14; minEnergyPreys: 0.3833333333333333; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.0133333333333332; maxSizePredators: 1.0
cycle: 74; nbPreys: 12; minEnergyPreys: 0.43333333333333335; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.019999999999999827; maxSizePredators: 1.0
cycle: 75; nbPreys: 11; minEnergyPreys: 0.4833333333333334; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 76; nbPreys: 10; minEnergyPreys: 0.5333333333333334; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 77; nbPreys: 15; minEnergyPreys: 0.1166666666666667; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.98
cycle: 78; nbPreys: 14; minEnergyPreys: 0.16666666666666669; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 79; nbPreys: 13; minEnergyPreys: 0.21666666666666667; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 80; nbPreys: 12; minEnergyPreys: 0.2666666666666667; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 81; nbPreys: 11; minEnergyPreys: 0.31666666666666676; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.96
cycle: 82; nbPreys: 10; minEnergyPreys: 0.3666666666666668; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.98
cycle: 83; nbPreys: 9; minEnergyPreys: 0.41666666666666685; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.07999999999999917; maxSizePredators: 1.0
cycle: 84; nbPreys: 8; minEnergyPreys: 0.4666666666666669; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.059999999999999165; maxSizePredators: 1.0
cycle: 85; nbPreys: 6; minEnergyPreys: 0.5166666666666669; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03999999999999916; maxSizePredators: 1.0
cycle: 86; nbPreys: 6; minEnergyPreys: 0.566666666666667; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.01999999999999916; maxSizePredators: 0.98
cycle: 87; nbPreys: 5; minEnergyPreys: 0.6166666666666669; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.96
cycle: 88; nbPreys: 5; minEnergyPreys: 0.6666666666666669; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.94
cycle: 89; nbPreys: 4; minEnergyPreys: 0.7166666666666668; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 90; nbPreys: 3; minEnergyPreys: 0.7666666666666667; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 91; nbPreys: 2; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
cycle: 92; nbPreys: 2; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.98
cycle: 93; nbPreys: 2; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.96
cycle: 94; nbPreys: 1; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 16; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 95; nbPreys: 1; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 15; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.98
cycle: 96; nbPreys: 1; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 13; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.96
